
🇨🇳央视-频道,#genre#
CCTV-1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8

CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8

CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8

CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8

CCTV-3综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8

CCTV-3综艺,http://140.207.241.3:8080/live/program/live/cctv3hd/4000000/mnf.m3u8?xtkg

CCTV4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8

CCTV-5体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8

CCTV-5体育,http://140.207.241.3:8080/live/program/live/cctv5hd/4000000/mnf.m3u8

CCTV-5+赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8

CCTV-5+赛事,http://140.207.241.3:8080/live/program/live/cctv5phd/4000000/mnf.m3u8

CCTV-6电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8

CCTV-6电影,http://140.207.241.3:8080/live/program/live/cctv6hd/4000000/mnf.m3u8

CCTV-7军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8

CCTV-8电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8

CCTV-8电视剧,http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8

CCTV-9纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8

CCTV-10科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8

CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8

CCTV-10科教,http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8

CCTV-12社会,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8

CCTV-12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8

CCTV-14少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8

CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8

CCTV-14少儿,http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/mnf.m3u8

CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8

CCTV13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8

CCTV-16奥林,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8

CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

CCTV-17农业,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8

🇨🇳卫视-频道,#genre#
北京卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225673/index.m3u8

